trial_id,looming_start_frame,looming_start_time,bhvr1,bhvr2,bhvr3,bhvr4,bhvr5
G1M5D5T6,40588,"6, 0:33:48.582951",,,,,
G1M5D5T7,44204,"7, 0:36:49.359615",,,,,
G1M6D1T1,13821,"1, 0:11:29.549203",,,,,
G1M6D1T2,16772,"2, 0:13:57.126122",,,,,
G1M6D1T3,19275,"3, 0:16:02.237540",,,,,
G1M6D1T4,29665,"4, 0:24:41.719523",,,,,
G1M6D2T1,12517,"1, 0:10:23.831052",,,,,
G1M6D2T2,17283,"2, 0:14:22.142147",,,,,
G1M6D2T3,25766,"3, 0:21:26.252384",,,,,
G1M6D2T4,27941,"4, 0:23:14.953653",,,,,
G1M6D2T5,32148,"5, 0:26:45.354055",,,,,
G1M6D2T6,33977,"6, 0:28:16.797127",,,,,
G1M6D2T7,43358,"7, 0:36:05.784966",,,,,
G1M6D3T1,12149,"1, 0:10:06.750174",,,,,
G1M6D3T2,14791,"2, 0:12:18.807276",,,,,
G1M6D3T3,17210,"3, 0:14:19.777577",,,,,
G1M6D3T4,19442,"4, 0:16:11.345807",,,,,
G1M6D3T5,21434,"5, 0:17:50.947488",,,,,
G1M6D3T6,24784,"6, 0:20:38.435866",,,,,
G1M6D3T7,27289,"7, 0:22:43.678538",,,,,
G1M6D3T8,33742,"8, 0:28:06.340721",,,,,
G1M6D3T9,35100,"9, 0:29:14.255568",,,,,
G1M6D3T10,38287,"10, 0:31:53.550700",,,,,
G1M6D3T11,43320,"11, 0:36:05.245026",,,,,
G1M6D4T1,16659,"1, 0:13:52.454632",,,,,
G1M6D4T2,19253,"2, 0:16:02.162235",,,,,
G1M6D4T3,21729,"3, 0:18:05.937137",,,,,
G1M6D4T4,24043,"4, 0:20:01.666917",,,,,
G1M6D4T5,26494,"5, 0:22:04.205713",,,,,
G1M6D4T6,29726,"6, 0:24:45.800237",,,,,
G1M6D4T7,32337,"7, 0:26:56.366800",,,,,
G1M6D4T8,36711,"8, 0:30:35.059466",,,,,
G1M6D4T9,40921,"9, 0:34:05.526928",,,,,
G1M6D4T10,43570,"10, 0:36:17.962328",,,,,
G1M6D5T1,14682,"1, 0:12:10.967057",,,,,
G1M6D5T2,18137,"2, 0:15:03.729688",,,,,
G1M6D5T3,20290,"3, 0:16:51.334428",,,,,
G1M6D5T4,32062,"4, 0:26:39.923945",,,,,
G1M6D5T5,34347,"5, 0:28:34.180520",,,,,
G1M6D5T6,40433,"6, 0:33:38.437773",,,,,
G1M6D5T7,43741,"7, 0:36:23.838593",,,,,
G1M6D5T8,46944,"8, 0:39:04.039628",,,,,
G1M7D1T1,14762,"1, 0:12:16.649722",,,,,
G1M7D1T2,17216,"2, 0:14:19.377816",,,,,
G1M7D1T3,20825,"3, 0:17:19.829402",,,,,
G1M7D1T4,24215,"4, 0:20:09.303200",,,,,
G1M7D1T5,25824,"5, 0:21:29.723740",,,,,
G1M7D1T6,29273,"6, 0:24:22.210613",,,,,
G1M7D1T7,33909,"7, 0:28:13.949447",,,,,
G1M7D1T8,42108,"8, 0:35:03.881387",,,,,
G1M7D2T1,14982,"1, 0:12:27.736405",,,,,
G1M7D2T2,17508,"2, 0:14:34.052413",,,,,
G1M7D2T3,29580,"3, 0:24:37.617067",,,,,
G1M7D2T4,36231,"4, 0:30:10.175278",,,,,
G1M7D3T1,12143,"1, 0:10:04.355688",,,,,
G1M7D3T2,15214,"2, 0:12:37.969161",,,,,
G1M7D3T3,17782,"3, 0:14:46.328324",,,,,
G1M7D3T4,20049,"4, 0:16:39.657512",,,,,
G1M7D3T5,23352,"5, 0:19:24.808473",,,,,
G1M7D3T6,26155,"6, 0:21:44.995542",,,,,
G1M7D3T7,27820,"7, 0:23:08.199671",,,,,
G1M7D3T8,35116,"8, 0:29:12.987234",,,,,
G1M7D3T9,37301,"9, 0:31:02.227115",,,,,
G1M7D3T10,39960,"10, 0:33:15.205072",,,,,
G1M7D3T11,44224,"11, 0:36:48.396084",,,,,
G1M7D3T12,46322,"12, 0:38:33.302297",,,,,
G1M7D4T1,13519,"1, 0:11:14.291254",,,,,
G1M7D4T2,16225,"2, 0:13:29.550215",,,,,
G1M7D4T3,18270,"3, 0:15:11.812622",,,,,
G1M7D4T4,21863,"4, 0:18:11.461533",,,,,
G1M7D4T5,27916,"5, 0:23:14.067615",,,,,
G1M7D4T6,36620,"6, 0:30:29.282707",,,,,
G1M7D5T1,13741,"1, 0:11:26.452588",,,,,
G1M7D5T2,16719,"2, 0:13:55.349029",,,,,
G1M7D5T3,18813,"3, 0:15:40.023843",,,,,
G1M7D5T4,23234,"4, 0:19:21.104111",,,,,
G1M7D5T5,27738,"5, 0:23:06.288971",,,,,
G1M7D5T6,29639,"6, 0:24:41.304552",,,,,
G1M7D5T7,39847,"7, 0:33:11.720612",,,,,
G1M7D5T8,47587,"8, 0:39:38.685857",,,,,
G2M1D1T1,14053,T00:11:41.980,,,,,
G2M1D1T2,16827,T00:14:00.548,,,,,
G2M1D1T3,20528,T00:17:05.472,,,,,
G2M1D1T4,23495,T00:19:33.631,,,,,
G2M1D1T5,26274,T00:21:52.448,,,,,
G2M1D1T6,28812,T00:24:00.526,,,,,
G2M1D1T7,31151,T00:25:56.116,,,,,
G2M1D1T8,33255,T00:27:41.216,,,,,
G2M1D1T9,36222,T00:30:09.375,,,,,
G2M1D1T10,39885,T00:33:12.350,,,,,
G2M1D1T11,45435,T00:37:49.636,,,,,
G2M1D2T1,12697,"1, 0:10:33.992580",,,,,
G2M1D2T2,15301,"2, 0:12:44.192882",,,,,
G2M1D2T3,18033,"3, 0:15:00.780426",,,,,
G2M1D2T4,21452,"4, 0:17:51.760943",,,,,
G2M1D2T5,30597,"5, 0:25:28.942105",,,,,
G2M1D2T6,33499,"6, 0:27:54.069724",,,,,
G2M1D2T7,37338,"7, 0:31:06.006522",,,,,
G2M1D2T8,40156,"8, 0:33:26.904071",,,,,
G2M1D2T9,41695,"9, 0:34:43.862525",,,,,
G2M1D2T10,44682,"10, 0:37:13.173826",,,,,
G2M1D2T11,47261,"11, 0:39:22.118458",,,,,
G2M1D3T1,13516,"1, 0:11:14.207862",,,,,
G2M1D3T2,15449,"2, 0:12:50.870526",,,,,
G2M1D3T3,18198,"3, 0:15:08.316247",,,,,
G2M1D3T4,20242,"4, 0:16:50.529464",,,,,
G2M1D3T5,23426,"5, 0:19:29.698156",,,,,
G2M1D3T6,39096,"6, 0:32:33.166789",,,,,
G2M1D3T7,41953,"7, 0:34:56.013685",,,,,
G2M1D3T8,44738,"8, 0:37:15.249672",,,,,
G2M1D4T1,12667,"1, 0:10:32.070329",,,,,
G2M1D4T2,15551,"2, 0:12:56.283445",,,,,
G2M1D4T3,20520,"3, 0:17:04.697118",,,,,
G2M1D4T4,24259,"4, 0:20:11.625252",,,,,
G2M1D4T5,28905,"5, 0:24:03.956662",,,,,
G2M1D4T6,32203,"6, 0:26:48.837006",,,,,
G2M1D4T7,42203,"7, 0:35:08.789605",,,,,
G2M1D4T8,44383,"8, 0:36:57.795892",,,,,
G2M1D5T1,21029,"1, 0:17:30.353327",,,,,
G2M1D5T2,24167,"2, 0:20:07.208992",,,,,
G2M1D5T3,37354,"3, 0:31:06.557645",,,,,
G2M1D5T4,41302,"4, 0:34:23.924263",,,,,
G2M1D5T5,46675,"5, 0:38:52.557501",,,,,
G2M2D1T1,15718,T00:13:06.400,,,,,
G2M2D1T2,17714,T00:14:44.856,,,,,
G2M2D1T3,20753,T00:17:16.661,,,,,
G2M2D1T4,23130,T00:19:15.398,,,,,
G2M2D1T5,27397,T00:22:48.545,,,,,
G2M2D1T6,33558,T00:27:56.301,,,,,
G2M2D1T7,35804,T00:29:48.495,,,,,
G2M2D1T8,38496,T00:32:02.966,,,,,
G2M2D1T9,41323,T00:34:24.232,,,,,
G2M2D2T1,18847,"1, 0:15:41.078121",,,,,
G2M2D2T2,31471,"2, 0:26:12.246037",,,,,
G2M2D2T3,33184,"3, 0:27:37.890267",,,,,
G2M2D2T4,35877,"4, 0:29:52.548955",,,,,
G2M2D2T5,43894,"5, 0:36:33.354558",,,,,
G2M2D3T1,16862,"1, 0:14:01.994255",,,,,
G2M2D3T2,19475,"2, 0:16:12.636647",,,,,
G2M2D3T3,21946,"3, 0:18:16.163614",,,,,
G2M2D3T4,23796,"4, 0:19:48.646948",,,,,
G2M2D3T5,25577,"5, 0:21:17.735002",,,,,
G2M2D3T6,28094,"6, 0:23:23.547510",,,,,
G2M2D3T7,29913,"7, 0:24:54.487385",,,,,
G2M2D3T8,31688,"8, 0:26:23.239012",,,,,
G2M2D3T9,34719,"9, 0:28:54.812755",,,,,
G2M2D3T10,37945,"10, 0:31:36.067990",,,,,
G2M2D3T11,39837,"11, 0:33:10.688694",,,,,
G2M2D4T1,13123,"1, 0:10:55.143361",,,,,
